id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
synthetic_no_reverb_268,0.08,10.0,1.0632,0.6979,0.0817,1.2428,0.7325,6.0094,0.17959999999999998,0.034600000000000075,5.927700000000001
synthetic_no_reverb_133,4.01,10.0,1.1998,0.8986,4.0134,1.8734,0.9626,13.9598,0.6736,0.06400000000000006,9.9464
synthetic_no_reverb_178,18.0,10.0,2.3041,0.9835,18.0027,3.1983,0.9871,20.2047,0.8942000000000001,0.0035999999999999366,2.201999999999998
synthetic_no_reverb_0,14.99,10.0,2.3496,0.9807,14.9927,3.3306,0.989,18.3397,0.9809999999999999,0.008299999999999974,3.3470000000000013
synthetic_no_reverb_252,-0.01,10.0,1.0589,0.6887,-0.0105,1.4267,0.8234,9.301,0.3678000000000001,0.13470000000000004,9.3115
synthetic_no_reverb_72,9.0,10.0,1.6999,0.9278,8.9996,3.042,0.9731,17.8973,1.3420999999999998,0.04530000000000001,8.897700000000002
synthetic_no_reverb_238,-0.01,10.0,1.3805,0.8933,-0.006,2.7816,0.9684,17.6799,1.4011,0.07510000000000006,17.6859
synthetic_no_reverb_58,0.0,10.0,1.0964,0.7959,0.0011,1.8866,0.9028,9.9579,0.7902,0.1069,9.956800000000001
synthetic_no_reverb_197,13.0,10.0,2.8424,0.9975,13.0,3.6662,0.9936,22.4848,0.8237999999999999,-0.0039000000000000146,9.4848
synthetic_no_reverb_149,16.01,10.0,1.6454,0.9544,16.0077,3.1291,0.9779,20.7314,1.4837000000000002,0.023499999999999965,4.723700000000001
synthetic_no_reverb_125,2.98,10.0,1.0609,0.7635,2.9761,1.4088,0.8552,11.3409,0.3479000000000001,0.0917,8.364799999999999
synthetic_no_reverb_243,9.01,10.0,1.1596,0.871,9.0107,1.9241,0.8982,14.7246,0.7645,0.027200000000000002,5.713900000000001
synthetic_no_reverb_156,14.0,10.0,1.2312,0.9613,13.9981,2.711,0.9749,20.0792,1.4797999999999998,0.013599999999999945,6.081099999999999
synthetic_no_reverb_16,9.99,10.0,1.6736,0.9812,9.9915,3.343,0.9917,19.1727,1.6694,0.010500000000000065,9.181199999999999
synthetic_no_reverb_21,14.99,10.0,1.7014,0.9576,14.9935,2.2837,0.9507,15.1519,0.5823,-0.006900000000000017,0.15840000000000032
synthetic_no_reverb_88,11.01,10.0,1.2801,0.917,11.0067,2.6671,0.9681,17.1478,1.387,0.05109999999999992,6.1411
synthetic_no_reverb_35,18.99,10.0,2.151,0.9854,18.9924,3.0341,0.9865,20.5336,0.8831000000000002,0.0010999999999999899,1.5412
synthetic_no_reverb_90,6.0,10.0,1.3713,0.9282,5.9981,2.4346,0.9623,13.7337,1.0633000000000001,0.03410000000000002,7.735600000000001
synthetic_no_reverb_127,15.0,10.0,1.973,0.9568,14.9972,3.1497,0.9776,20.5473,1.1767,0.02080000000000004,5.5501000000000005
synthetic_no_reverb_44,2.01,10.0,1.2099,0.8875,2.008,2.3683,0.961,18.9925,1.1584,0.07350000000000001,16.9845
synthetic_no_reverb_192,0.96,10.0,1.0597,0.715,0.956,1.3936,0.8056,9.3089,0.33389999999999986,0.09060000000000001,8.3529
synthetic_no_reverb_66,11.01,10.0,1.5613,0.922,11.0103,2.8741,0.9636,16.9261,1.3128,0.04159999999999997,5.915800000000001
synthetic_no_reverb_23,4.0,10.0,1.6153,0.9344,4.0047,2.4757,0.9558,13.4368,0.8603999999999998,0.021399999999999975,9.4321
synthetic_no_reverb_101,0.14,10.0,1.072,0.8964,0.1441,2.3231,0.9655,13.158,1.2511,0.06910000000000005,13.0139
synthetic_no_reverb_47,13.0,10.0,2.1038,0.958,12.9976,3.3676,0.978,21.8526,1.2637999999999998,0.020000000000000018,8.854999999999999
synthetic_no_reverb_158,15.0,10.0,1.7355,0.9858,15.0026,2.8738,0.9872,17.5038,1.1383,0.0013999999999999568,2.501199999999999
synthetic_no_reverb_6,4.02,10.0,1.0341,0.8161,4.0209,1.7458,0.8898,15.6713,0.7117,0.07369999999999999,11.650400000000001
synthetic_no_reverb_207,6.99,10.0,1.2558,0.9084,6.9879,2.3642,0.9526,18.8589,1.1083999999999998,0.04420000000000002,11.870999999999999
synthetic_no_reverb_170,1.03,10.0,1.1952,0.892,1.0327,2.2738,0.9477,13.2751,1.0786,0.05569999999999997,12.2424
synthetic_no_reverb_107,19.0,10.0,2.878,0.9972,18.9998,3.5178,0.9906,20.8363,0.6397999999999997,-0.006599999999999939,1.836500000000001
synthetic_no_reverb_250,8.99,10.0,1.3221,0.9192,8.9928,2.2056,0.9444,16.2568,0.8835,0.0252,7.263999999999998
synthetic_no_reverb_143,12.0,10.0,1.4718,0.924,12.0033,3.059,0.9731,22.4781,1.5872000000000002,0.04909999999999992,10.474800000000002
synthetic_no_reverb_71,2.0,10.0,1.3869,0.9417,2.005,2.4705,0.9705,18.3413,1.0836,0.028800000000000048,16.3363
synthetic_no_reverb_274,10.01,10.0,1.2295,0.8703,10.0148,2.033,0.9511,14.7489,0.8034999999999999,0.08079999999999998,4.7341000000000015
