id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
268,0.08,10.0,1.0632,0.6979,0.0817,1.0378,0.6679,-0.5892,-0.025399999999999867,-0.029999999999999916,-0.6708999999999999
133,4.01,10.0,1.1998,0.8986,4.0134,1.1014,0.8598,3.028,-0.09840000000000004,-0.038799999999999946,-0.9853999999999998
178,18.0,10.0,2.3041,0.9835,18.0027,1.2821,0.9213,6.4393,-1.022,-0.06220000000000003,-11.563400000000001
0,14.99,10.0,2.3496,0.9807,14.9927,1.1736,0.8823,3.9233,-1.1760000000000002,-0.09840000000000004,-11.0694
252,-0.01,10.0,1.0589,0.6887,-0.0105,1.0368,0.6414,-0.77,-0.02210000000000001,-0.04730000000000001,-0.7595000000000001
72,9.0,10.0,1.6999,0.9278,8.9996,1.1932,0.8589,5.8593,-0.5066999999999999,-0.06889999999999996,-3.140299999999999
238,-0.01,10.0,1.3805,0.8933,-0.006,1.0475,0.8096,-6.6258,-0.33299999999999996,-0.0837,-6.6198
58,0.0,10.0,1.0964,0.7959,0.0011,1.0982,0.7703,2.6259,0.0018000000000000238,-0.025600000000000067,2.6248
197,13.0,10.0,2.8424,0.9975,13.0,1.2223,0.9165,5.8281,-1.6201,-0.08100000000000007,-7.1719
149,16.01,10.0,1.6454,0.9544,16.0077,1.2125,0.9089,5.4207,-0.43290000000000006,-0.045499999999999985,-10.587
125,2.98,10.0,1.0609,0.7635,2.9761,1.0915,0.7527,3.8287,0.03059999999999996,-0.01079999999999992,0.8525999999999998
243,9.01,10.0,1.1596,0.871,9.0107,1.1187,0.8265,4.3163,-0.040899999999999936,-0.044499999999999984,-4.6944
156,14.0,10.0,1.2312,0.9613,13.9981,1.2309,0.9045,7.0203,-0.00029999999999996696,-0.05680000000000007,-6.977800000000001
16,9.99,10.0,1.6736,0.9812,9.9915,1.1484,0.9165,2.6185,-0.5251999999999999,-0.06469999999999998,-7.373
21,14.99,10.0,1.7014,0.9576,14.9935,1.1496,0.8909,7.3243,-0.5518000000000001,-0.06669999999999998,-7.669199999999999
88,11.01,10.0,1.2801,0.917,11.0067,1.1367,0.863,5.2247,-0.14339999999999997,-0.05400000000000005,-5.782
35,18.99,10.0,2.151,0.9854,18.9924,1.2947,0.9364,6.8637,-0.8562999999999998,-0.049000000000000044,-12.1287
90,6.0,10.0,1.3713,0.9282,5.9981,1.0962,0.8371,2.9853,-0.2750999999999999,-0.09110000000000007,-3.0128
127,15.0,10.0,1.973,0.9568,14.9972,1.2822,0.9006,4.9294,-0.6908000000000001,-0.05620000000000003,-10.067799999999998
44,2.01,10.0,1.2099,0.8875,2.008,1.0509,0.8068,0.2558,-0.15900000000000003,-0.0807,-1.7522
192,0.96,10.0,1.0597,0.715,0.956,1.0401,0.6772,-0.9889,-0.019600000000000062,-0.037799999999999945,-1.9449
