id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
fileid_1,19.25,6.582,1.48,0.8735,5.894,1.48,0.8735,5.894,0.0,0.0,0.0
fileid_2,13.18,4.608,1.2758,0.9833,10.4098,1.2758,0.9833,10.4098,0.0,0.0,0.0
fileid_3,7.36,7.2,1.2227,0.8947,-0.3375,1.2227,0.8947,-0.3375,0.0,0.0,0.0
fileid_4,7.93,4.8,1.2719,0.885,6.2493,1.2719,0.885,6.2493,0.0,0.0,0.0
fileid_5,14.44,5.232,1.1637,0.8112,5.9944,1.1637,0.8112,5.9944,0.0,0.0,0.0
fileid_6,2.77,5.904,1.149,0.8561,0.5482,1.149,0.8561,0.5482,0.0,0.0,0.0
fileid_7,-1.2,5.796,1.1216,0.8072,-5.5964,1.1216,0.8072,-5.5964,0.0,0.0,0.0
fileid_8,0.55,5.904,1.1452,0.7653,-2.4533,1.1452,0.7653,-2.4533,0.0,0.0,0.0
fileid_9,11.01,6.12,2.6852,0.9932,9.7515,2.6852,0.9932,9.7515,0.0,0.0,0.0
fileid_10,15.41,7.128,1.5939,0.9485,14.3684,1.5939,0.9485,14.3684,0.0,0.0,0.0
fileid_11,3.15,7.056,1.3082,0.932,-1.8179,1.3082,0.932,-1.8179,0.0,0.0,0.0
fileid_12,12.92,8.892,1.5402,0.946,11.4859,1.5402,0.946,11.4859,0.0,0.0,0.0
fileid_13,12.05,7.308,1.3189,0.8448,7.16,1.3189,0.8448,7.16,0.0,0.0,0.0
fileid_14,0.84,7.392,1.212,0.6886,-0.7609,1.212,0.6886,-0.7609,0.0,0.0,0.0
fileid_15,-0.4,7.488,1.0869,0.6173,-2.5581,1.0869,0.6173,-2.5581,0.0,0.0,0.0
fileid_16,-3.56,6.552,1.2233,0.4772,-5.6829,1.2233,0.4772,-5.6829,0.0,0.0,0.0
fileid_17,13.81,6.228,1.0834,0.7805,-0.3674,1.0834,0.7805,-0.3674,0.0,0.0,0.0
fileid_18,18.48,5.94,1.2382,0.851,2.6239,1.2382,0.851,2.6239,0.0,0.0,0.0
fileid_19,-2.23,6.3,1.0331,0.6801,-7.3484,1.0331,0.6801,-7.3484,0.0,0.0,0.0
fileid_20,3.33,7.464,1.3337,0.8135,-1.7943,1.3337,0.8135,-1.7943,0.0,0.0,0.0
fileid_21,3.19,7.956,1.1166,0.7719,1.0091,1.1166,0.7719,1.0091,0.0,0.0,0.0
fileid_22,4.54,3.708,2.0902,0.9886,2.9689,2.0902,0.9886,2.9689,0.0,0.0,0.0
fileid_23,17.32,2.795,1.7716,0.9906,14.9694,1.7716,0.9906,14.9694,0.0,0.0,0.0
fileid_24,-4.08,6.12,1.0506,0.7559,-7.1655,1.0506,0.7559,-7.1655,0.0,0.0,0.0
fileid_25,-4.33,6.32,1.0302,0.6754,-4.8893,1.0302,0.6754,-4.8893,0.0,0.0,0.0
fileid_26,1.93,12.97,1.0361,0.7548,1.0088,1.0361,0.7548,1.0088,0.0,0.0,0.0
fileid_27,-0.85,6.7,1.0743,0.7552,-1.6079,1.0743,0.7552,-1.6079,0.0,0.0,0.0
fileid_28,5.62,6.11,1.4242,0.9561,4.3052,1.4242,0.9561,4.3052,0.0,0.0,0.0
fileid_29,8.35,7.11,1.6276,0.908,7.3852,1.6276,0.908,7.3852,0.0,0.0,0.0
fileid_30,4.46,6.16,1.8512,0.9413,3.6423,1.8512,0.9413,3.6423,0.0,0.0,0.0
fileid_31,-1.65,5.99,2.348,0.9665,-2.0315,2.348,0.9665,-2.0315,0.0,0.0,0.0
fileid_32,0.55,6.58,1.6229,0.9655,-0.0985,1.6229,0.9655,-0.0985,0.0,0.0,0.0
fileid_33,11.3,7.41,2.1318,0.9564,10.6098,2.1318,0.9564,10.6098,0.0,0.0,0.0
fileid_34,2.48,6.97,1.1378,0.8033,-0.3496,1.1378,0.8033,-0.3496,0.0,0.0,0.0
fileid_35,-0.67,6.36,1.1123,0.8652,-1.0929,1.1123,0.8652,-1.0929,0.0,0.0,0.0
fileid_36,12.43,7.0,1.9056,0.931,11.1965,1.9056,0.931,11.1965,0.0,0.0,0.0
fileid_37,14.09,7.8,2.4369,0.9976,13.5106,2.4369,0.9976,13.5106,0.0,0.0,0.0
fileid_38,-0.65,7.15,1.0435,0.7437,-1.3206,1.0435,0.7437,-1.3206,0.0,0.0,0.0
fileid_39,15.52,6.33,2.1045,0.9929,14.7361,2.1045,0.9929,14.7361,0.0,0.0,0.0
fileid_40,-1.23,6.83,1.0526,0.8195,-1.6987,1.0526,0.8195,-1.6987,0.0,0.0,0.0
fileid_41,11.36,14.7,2.1788,0.9905,10.5341,2.1788,0.9905,10.5341,0.0,0.0,0.0
fileid_42,16.97,3.17,1.4236,0.9013,16.2812,1.4236,0.9013,16.2812,0.0,0.0,0.0
fileid_43,13.8,6.02,1.4,0.9751,11.2974,1.4,0.9751,11.2974,0.0,0.0,0.0
fileid_44,0.4,3.49,1.0522,0.7456,-0.2379,1.0522,0.7456,-0.2379,0.0,0.0,0.0
fileid_45,2.21,7.98,1.0626,0.7831,-1.1054,1.0626,0.7831,-1.1054,0.0,0.0,0.0
fileid_46,19.03,7.89,1.5422,0.9388,12.3978,1.5422,0.9388,12.3978,0.0,0.0,0.0
fileid_47,13.4,6.89,2.6636,0.988,12.5744,2.6636,0.988,12.5744,0.0,0.0,0.0
fileid_48,5.14,6.54,1.6393,0.9323,4.3333,1.6393,0.9323,4.3333,0.0,0.0,0.0
fileid_49,0.75,6.18,1.0984,0.7296,0.1223,1.0984,0.7296,0.1223,0.0,0.0,0.0
fileid_50,3.47,9.3,1.1767,0.7688,3.0699,1.1767,0.7688,3.0699,0.0,0.0,0.0
fileid_51,1.14,13.06,1.0687,0.8465,-3.3449,1.0687,0.8465,-3.3449,0.0,0.0,0.0
fileid_52,2.94,3.25,1.0599,0.7829,-0.7213,1.0599,0.7829,-0.7213,0.0,0.0,0.0
fileid_53,18.85,3.203,1.3469,0.8506,1.0619,1.3469,0.8506,1.0619,0.0,0.0,0.0
fileid_54,15.65,6.16,3.4273,0.9989,14.5382,3.4273,0.9989,14.5382,0.0,0.0,0.0
fileid_55,13.9,3.671,1.7599,0.9546,12.3954,1.7599,0.9546,12.3954,0.0,0.0,0.0
fileid_56,19.96,7.36,2.3103,0.9784,18.4497,2.3103,0.9784,18.4497,0.0,0.0,0.0
fileid_57,11.04,3.0,1.4362,0.906,1.3293,1.4362,0.906,1.3293,0.0,0.0,0.0
fileid_58,-0.23,6.45,1.1502,0.9141,-1.7085,1.1502,0.9141,-1.7085,0.0,0.0,0.0
fileid_59,4.65,6.95,1.161,0.775,1.1803,1.161,0.775,1.1803,0.0,0.0,0.0
fileid_60,-1.85,6.18,1.0652,0.7347,-4.3454,1.0652,0.7347,-4.3454,0.0,0.0,0.0
fileid_61,1.82,7.68,1.3417,0.928,0.8767,1.3417,0.928,0.8767,0.0,0.0,0.0
fileid_62,12.77,6.43,1.2725,0.854,5.7837,1.2725,0.854,5.7837,0.0,0.0,0.0
