id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
268,0.08,10.0,1.0632,0.6979,0.0817,1.0717,0.707,1.7583,0.008500000000000174,0.009099999999999997,1.6766
133,4.01,10.0,1.1998,0.8986,4.0134,1.1873,0.8579,4.826,-0.012499999999999956,-0.04069999999999996,0.8125999999999998
178,18.0,10.0,2.3041,0.9835,18.0027,1.4681,0.9532,13.0985,-0.8360000000000001,-0.030299999999999994,-4.904200000000001
0,14.99,10.0,2.3496,0.9807,14.9927,1.3095,0.9213,4.2332,-1.0401,-0.05940000000000001,-10.7595
252,-0.01,10.0,1.0589,0.6887,-0.0105,1.0514,0.6303,-1.4315,-0.007500000000000062,-0.05840000000000001,-1.421
72,9.0,10.0,1.6999,0.9278,8.9996,1.3001,0.8866,8.1775,-0.39979999999999993,-0.0411999999999999,-0.8220999999999989
238,-0.01,10.0,1.3805,0.8933,-0.006,1.0537,0.8448,-0.7652,-0.3268,-0.04849999999999999,-0.7592
58,0.0,10.0,1.0964,0.7959,0.0011,1.113,0.7971,0.1791,0.016599999999999948,0.0011999999999999789,0.17800000000000002
197,13.0,10.0,2.8424,0.9975,13.0,1.6132,0.9518,7.7261,-1.2292,-0.045700000000000074,-5.2739
149,16.01,10.0,1.6454,0.9544,16.0077,1.314,0.8464,8.114,-0.3313999999999999,-0.10799999999999998,-7.893699999999999
125,2.98,10.0,1.0609,0.7635,2.9761,1.1274,0.772,6.3127,0.0665,0.008500000000000063,3.3366000000000002
243,9.01,10.0,1.1596,0.871,9.0107,1.3668,0.8721,13.1897,0.20720000000000005,0.0010999999999999899,4.179
156,14.0,10.0,1.2312,0.9613,13.9981,1.1843,0.8579,9.1571,-0.046900000000000164,-0.10340000000000005,-4.841000000000001
16,9.99,10.0,1.6736,0.9812,9.9915,1.3792,0.8878,1.6469,-0.2944,-0.09339999999999993,-8.3446
21,14.99,10.0,1.7014,0.9576,14.9935,1.3492,0.9242,8.0985,-0.35220000000000007,-0.033399999999999985,-6.895
88,11.01,10.0,1.2801,0.917,11.0067,1.2586,0.921,13.4229,-0.021500000000000075,0.0040000000000000036,2.4162
35,18.99,10.0,2.151,0.9854,18.9924,1.3873,0.9558,11.2955,-0.7636999999999998,-0.02960000000000007,-7.696899999999999
90,6.0,10.0,1.3713,0.9282,5.9981,1.1685,0.9,6.2209,-0.20279999999999987,-0.028200000000000003,0.22280000000000033
127,15.0,10.0,1.973,0.9568,14.9972,1.5098,0.9403,14.1193,-0.46320000000000006,-0.01649999999999996,-0.8778999999999986
44,2.01,10.0,1.2099,0.8875,2.008,1.1519,0.8673,1.4117,-0.05800000000000005,-0.020199999999999996,-0.5963
192,0.96,10.0,1.0597,0.715,0.956,1.0697,0.721,1.8908,0.010000000000000009,0.006000000000000005,0.9348000000000001
66,11.01,10.0,1.5613,0.922,11.0103,1.2931,0.8392,8.2525,-0.2682,-0.0828000000000001,-2.7578000000000014
23,4.0,10.0,1.6153,0.9344,4.0047,1.1382,0.8746,0.2297,-0.47709999999999986,-0.059799999999999964,-3.775
101,0.14,10.0,1.072,0.8964,0.1441,1.1463,0.9233,7.6279,0.07430000000000003,0.026900000000000035,7.4838000000000005
47,13.0,10.0,2.1038,0.958,12.9976,2.1945,0.9581,13.0417,0.0907,9.999999999998899e-05,0.04410000000000025
158,15.0,10.0,1.7355,0.9858,15.0026,1.1033,0.8884,6.0381,-0.6322000000000001,-0.09740000000000004,-8.9645
6,4.02,10.0,1.0341,0.8161,4.0209,1.0444,0.7378,3.3492,0.010299999999999976,-0.07830000000000004,-0.6717
207,6.99,10.0,1.2558,0.9084,6.9879,1.0482,0.7665,2.9093,-0.2076,-0.14190000000000003,-4.0786
170,1.03,10.0,1.1952,0.892,1.0327,1.0992,0.8179,-0.0241,-0.09600000000000009,-0.07410000000000005,-1.0568
107,19.0,10.0,2.878,0.9972,18.9998,1.7288,0.9878,18.0337,-1.1492000000000002,-0.009399999999999964,-0.9661000000000008
250,8.99,10.0,1.3221,0.9192,8.9928,1.3554,0.9127,10.1183,0.033299999999999885,-0.006500000000000061,1.1254999999999988
143,12.0,10.0,1.4718,0.924,12.0033,1.0966,0.8266,6.9992,-0.3752,-0.09740000000000004,-5.004099999999999
71,2.0,10.0,1.3869,0.9417,2.005,1.241,0.9301,1.5686,-0.14589999999999992,-0.011599999999999944,-0.4363999999999999
274,10.01,10.0,1.2295,0.8703,10.0148,1.1534,0.8385,8.6504,-0.07610000000000006,-0.03179999999999994,-1.3643999999999998
96,10.0,10.0,1.6708,0.9763,9.9969,1.166,0.9462,9.21,-0.5048000000000001,-0.030099999999999905,-0.7868999999999993
200,10.99,10.0,1.4403,0.907,10.9873,1.385,0.8886,8.8559,-0.055299999999999905,-0.018400000000000083,-2.1313999999999993
104,0.97,10.0,1.0832,0.8524,0.9687,1.0666,0.8284,0.7405,-0.016599999999999948,-0.02400000000000002,-0.22819999999999996
50,1.0,10.0,1.2452,0.9024,0.9996,1.1723,0.9011,0.9942,-0.07290000000000019,-0.0012999999999999678,-0.005400000000000071
139,19.0,10.0,2.4947,0.977,19.0034,1.3127,0.925,9.5982,-1.182,-0.051999999999999935,-9.405199999999999
155,9.98,10.0,1.3985,0.91,9.9809,1.15,0.849,5.6409,-0.24850000000000017,-0.061000000000000054,-4.34
3,10.97,10.0,1.5777,0.9496,10.9694,1.0697,0.7705,4.8436,-0.508,-0.17910000000000004,-6.1258
2,16.99,10.0,1.6032,0.9462,16.9858,1.1399,0.8396,5.8359,-0.46330000000000005,-0.10660000000000003,-11.149900000000002
150,1.07,10.0,1.1217,0.8527,1.0683,1.0638,0.8155,1.4907,-0.05789999999999984,-0.03720000000000001,0.4223999999999999
213,15.0,10.0,2.2129,0.9438,15.0039,1.2543,0.8556,9.1324,-0.9585999999999999,-0.08819999999999995,-5.871499999999999
137,12.0,10.0,2.0007,0.9674,12.0009,1.0614,0.7803,3.9492,-0.9393000000000002,-0.18710000000000004,-8.0517
231,6.01,10.0,1.2665,0.9031,6.0095,1.2702,0.9076,9.1659,0.0037000000000000366,0.0044999999999999485,3.1564000000000005
175,4.01,10.0,1.0558,0.88,4.0139,1.0537,0.8338,1.9185,-0.0020999999999999908,-0.04620000000000002,-2.0953999999999997
147,5.05,10.0,1.2578,0.8854,5.0478,1.2428,0.8826,5.6011,-0.015000000000000124,-0.0027999999999999137,0.5533000000000001
290,4.49,10.0,1.171,0.8207,4.4857,1.0584,0.7378,1.5505,-0.11260000000000003,-0.08289999999999997,-2.9351999999999996
201,11.99,10.0,1.5366,0.9292,11.9852,1.6033,0.9281,13.4663,0.06669999999999998,-0.0010999999999999899,1.4810999999999996
57,3.0,10.0,1.3565,0.873,2.9981,1.1432,0.8242,2.8827,-0.21330000000000005,-0.048799999999999955,-0.11540000000000017
152,14.02,10.0,2.2842,0.984,14.0173,1.1552,0.8748,5.6736,-1.1289999999999998,-0.10919999999999996,-8.3437
293,8.05,10.0,1.4217,0.9458,8.0518,1.2724,0.9361,10.3485,-0.1493,-0.009699999999999931,2.2966999999999995
63,6.0,10.0,1.4172,0.939,6.0043,1.4305,0.9394,6.017,0.01330000000000009,0.00040000000000006697,0.0127000000000006
146,11.99,10.0,1.7126,0.9797,11.9949,1.6202,0.9795,12.7857,-0.09239999999999982,-0.00019999999999997797,0.7908000000000008
296,9.99,10.0,1.181,0.8607,9.9866,1.0547,0.7404,3.8136,-0.12630000000000008,-0.12030000000000007,-6.172999999999999
73,12.02,10.0,1.7783,0.9799,12.0247,1.2569,0.951,11.1306,-0.5214000000000001,-0.028900000000000037,-0.8940999999999999
49,2.03,10.0,1.2806,0.9109,2.0278,1.1031,0.8632,0.6326,-0.1775,-0.047700000000000076,-1.3952
241,12.01,10.0,1.5744,0.8922,12.0072,1.1893,0.8251,8.2324,-0.3851,-0.06710000000000005,-3.774799999999999
60,18.99,10.0,2.4533,0.9892,18.9944,1.3642,0.8858,6.1207,-1.0891,-0.10339999999999994,-12.8737
4,5.99,10.0,1.2434,0.8451,5.9906,1.0952,0.8007,4.6203,-0.1482000000000001,-0.044399999999999995,-1.3702999999999994
245,3.02,10.0,1.568,0.9579,3.0161,1.4634,0.9546,3.8421,-0.10460000000000003,-0.0032999999999999696,0.8260000000000001
26,12.0,10.0,2.1409,0.9519,11.9998,1.5087,0.9403,10.8922,-0.6321999999999999,-0.011599999999999944,-1.1075999999999997
110,10.99,10.0,1.412,0.8692,10.99,1.1274,0.8059,8.4565,-0.28459999999999996,-0.06330000000000002,-2.5335
52,7.98,10.0,1.6565,0.9344,7.9812,1.1088,0.8186,3.9303,-0.5477000000000001,-0.11580000000000001,-4.0509
